arrest_key,arrest_date,pd_cd,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,ky_cd,ofns_desc
237354740,2021-12-04T00:00:00.000,153,PL 1302502,F,Bronx,41,0,25-44,Male,HISPANIC,1013232,236725,40.816391847000034,-73.89529641399997,104,RAPE
236081433,2021-11-09T00:00:00.000,681,PL 2601001,M,Queens,113,0,25-44,Male,BLACK,1046367,186986,40.67970040800003,-73.77604736799998,233,SEX CRIMES
192799737,2019-01-26T00:00:00.000,177,PL 1306503,F,Manhattan,25,0,45-64,Male,BLACK,1000555,230994,40.800694331000045,-73.941109285999971,116,SEX CRIMES
236106641,2021-11-10T00:00:00.000,263,PL 1501001,F,Bronx,41,72,25-44,Male,HISPANIC,1017934,232221,40.804012949000025,-73.87833183299993,114,ARSON
238383628,2021-12-28T00:00:00.000,729,PL 1702500,F,Queens,113,0,18-24,Male,BLACK,1045482,191341,40.69166001700007,-73.77919852099996,113,FORGERY
149117452,2016-01-06T00:00:00.000,153.0,PL 1302503,F,Brooklyn,67,0.0,25-44,Male,BLACK,998032.0,175598.0,40.648650085000035,-73.95033556299995,104.0,RAPE
237339209,2021-12-04T00:00:00.000,101,PL 1200001,M,Brooklyn,83,0,25-44,Male,BLACK,1007400,190154,40.688583516000044,-73.91652634699994,344,ASSAULT 3 & RELATED OFFENSES
237580757,2021-12-09T00:00:00.000,105,PL 1211200,F,Manhattan,30,0,25-44,Male,BLACK,999751,241188,40.82867545800008,-73.94398971599996,106,FELONY ASSAULT
190049060,2018-11-15T00:00:00.000,157,PL 1303501,F,Brooklyn,77,0,25-44,Male,BLACK,1003606,185050,40.67458330800008,-73.93022154099998,104,RAPE
24288194,2006-09-13T00:00:00.000,203.0,PL 140100E,M,Brooklyn,77,2.0,45-64,Male,BLACK,1004580.0,183838.0,40.67125445700003,-73.926713851,352.0,CRIMINAL TRESPASS
