Date,CPI,Core_CPI,Chicken_Breat,Eggs,Milk,White_Bread,Gasoline_All_Types,Used_Car_and_Truck,New_Car,Federal_Funds_Rate
2006-01-01,199.3,203.2,3.307,1.449,3.197,1.046,213.2,140.3,138.0,4.29
2006-02-01,199.4,203.6,3.341,1.328,3.224,1.029,210.2,140.4,138.1,4.49
2006-03-01,199.7,204.3,3.295,1.302,3.161,1.04,208.3,140.8,137.9,4.59
2006-04-01,200.7,204.8,3.308,1.283,3.123,1.072,224.0,141.0,137.9,4.79
2006-05-01,201.3,205.4,3.236,1.206,3.066,1.086,227.5,141.1,137.7,4.94
2006-06-01,201.8,205.9,3.277,1.242,3.001,1.074,228.1,141.0,137.7,4.99
2006-07-01,202.9,206.3,3.209,1.213,3.083,1.071,245.3,140.7,137.8,5.24
2006-08-01,203.8,206.8,3.357,1.244,3.019,1.088,252.7,140.4,137.6,5.25
2006-09-01,202.8,207.2,3.397,1.254,3.049,1.083,221.3,139.9,137.6,5.25
2006-10-01,201.9,207.6,3.28,1.257,3.064,1.097,197.0,139.0,137.4,5.25
2006-11-01,202.0,207.8,3.288,1.354,2.985,1.143,195.0,138.3,136.6,5.25
2006-12-01,203.1,208.1,3.284,1.543,3.004,1.137,211.3,137.2,136.4,5.24
2007-01-01,203.437,208.6,3.274,1.549,3.067,1.153,205.361,136.169,136.437,5.25
2007-02-01,204.226,209.135,3.259,1.746,3.083,1.168,208.351,135.533,136.201,5.26
2007-03-01,205.288,209.418,3.337,1.634,3.072,1.161,222.804,135.201,136.481,5.26
2007-04-01,205.904,209.747,3.371,1.616,3.135,1.201,229.338,134.995,136.578,5.25
2007-05-01,206.755,210.058,3.486,1.504,3.259,1.192,240.407,134.653,136.323,5.25
2007-06-01,207.234,210.392,3.513,1.373,3.427,1.193,241.015,134.57,136.171,5.25
2007-07-01,207.603,210.773,3.509,1.502,3.736,1.209,242.158,134.748,136.236,5.26
2007-08-01,207.667,211.119,3.589,1.634,3.807,1.21,236.401,135.255,136.438,5.02
2007-09-01,208.547,211.554,3.528,1.825,3.841,1.212,244.482,136.022,136.051,4.94
2007-10-01,209.19,212.077,3.421,1.771,3.838,1.274,246.233,136.707,135.831,4.76
2007-11-01,210.834,212.66,3.459,1.862,3.904,1.235,268.067,137.559,136.154,4.49
2007-12-01,211.445,213.168,3.376,2.099,3.87,1.28,271.805,137.855,136.098,4.24
2008-01-01,212.174,213.771,3.392,2.175,3.871,1.281,273.485,138.938,135.926,3.94
2008-02-01,212.687,213.939,3.48,2.168,3.869,1.321,277.12,138.818,135.405,2.98
2008-03-01,213.448,214.42,3.372,2.203,3.781,1.35,279.234,138.541,134.953,2.61
2008-04-01,213.942,214.56,3.502,2.069,3.799,1.373,276.563,137.659,134.726,2.28
2008-05-01,215.208,214.936,3.452,1.93,3.76,1.37,289.883,136.393,134.646,1.98
2008-06-01,217.463,215.424,3.403,1.92,3.773,1.373,321.643,135.02,134.66,2.0
2008-07-01,219.016,215.965,3.42,2.011,3.961,1.384,334.055,133.709,134.821,2.01
2008-08-01,218.69,216.393,3.445,1.854,3.886,1.381,319.114,132.535,134.162,2.0
2008-09-01,218.877,216.713,3.359,1.978,3.773,1.379,321.466,131.176,133.496,1.81
2008-10-01,216.995,216.788,3.343,1.858,3.656,1.393,278.393,129.407,132.925,0.97
2008-11-01,213.153,216.947,3.344,1.838,3.734,1.377,191.822,128.048,132.497,0.39
2008-12-01,211.398,216.925,3.284,1.834,3.681,1.415,154.377,127.323,132.069,0.16
2009-01-01,211.933,217.346,3.299,1.85,3.575,1.381,160.815,126.668,132.669,0.15
2009-02-01,212.705,217.792,3.326,1.795,3.319,1.404,174.067,124.405,133.415,0.22
2009-03-01,212.495,218.253,3.405,1.693,3.116,1.41,166.814,122.21,133.866,0.18
2009-04-01,212.709,218.706,3.388,1.774,3.084,1.395,168.312,121.887,134.367,0.15
2009-05-01,213.022,218.904,3.342,1.501,3.068,1.413,177.057,122.533,134.987,0.18
2009-06-01,214.79,219.112,3.398,1.529,3.009,1.385,213.086,123.236,135.729,0.21
2009-07-01,214.726,219.263,3.32,1.495,2.992,1.391,211.649,122.844,136.298,0.16
2009-08-01,215.445,219.496,3.267,1.632,2.979,1.375,223.781,125.011,134.771,0.16
2009-09-01,215.861,219.92,3.285,1.627,2.981,1.34,226.214,127.631,135.524,0.15
2009-10-01,216.509,220.501,3.33,1.595,3.046,1.392,228.651,132.475,137.891,0.12
2009-11-01,217.234,220.666,3.318,1.705,3.034,1.373,238.246,135.73,139.067,0.12
2009-12-01,217.347,220.881,3.31,1.772,3.105,1.39,237.235,139.376,138.928,0.12
2010-01-01,217.488,220.633,3.251,1.789,3.236,1.36,242.036,142.829,138.321,0.11
2010-02-01,217.281,220.731,3.313,1.872,3.203,1.361,235.748,143.173,138.117,0.13
2010-03-01,217.353,220.783,3.261,1.822,3.188,1.368,233.103,142.377,137.879,0.16
2010-04-01,217.403,220.822,3.245,1.779,3.14,1.363,232.594,141.68,137.639,0.2
2010-05-01,217.29,220.962,3.241,1.523,3.178,1.359,227.765,140.952,137.482,0.2
2010-06-01,217.199,221.194,3.323,1.494,3.297,1.383,222.745,141.951,137.409,0.18
2010-07-01,217.605,221.363,3.309,1.441,3.313,1.36,229.026,142.512,137.484,0.18
2010-08-01,217.923,221.509,3.337,1.519,3.303,1.372,232.674,143.42,137.782,0.19
2010-09-01,218.275,221.711,3.311,1.753,3.278,1.386,235.661,144.032,138.264,0.19
2010-10-01,219.035,221.83,3.389,1.456,3.321,1.407,249.885,144.313,138.442,0.19
2010-11-01,219.59,222.149,3.339,1.675,3.327,1.375,256.596,144.751,138.469,0.19
2010-12-01,220.472,222.343,3.324,1.793,3.318,1.386,271.509,145.669,138.678,0.18
2011-01-01,221.187,222.803,3.209,1.806,3.301,1.401,275.816,146.478,138.938,0.17
2011-02-01,221.898,223.213,3.175,1.708,3.357,1.398,280.015,146.182,139.725,0.16
2011-03-01,223.046,223.454,3.218,1.732,3.503,1.415,294.915,145.646,140.42,0.14
2011-04-01,224.093,223.727,3.291,1.727,3.597,1.42,310.115,145.542,140.878,0.1
2011-05-01,224.806,224.175,3.111,1.692,3.653,1.472,314.859,146.476,142.014,0.09
2011-06-01,224.806,224.697,3.127,1.683,3.622,1.49,304.321,148.518,142.706,0.09
2011-07-01,225.395,225.218,3.253,1.647,3.654,1.513,304.901,149.971,142.856,0.07
2011-08-01,226.106,225.862,3.275,1.711,3.713,1.474,306.276,151.312,142.848,0.1
2011-09-01,226.597,226.118,3.217,1.947,3.715,1.477,309.168,151.677,142.94,0.08
2011-10-01,226.75,226.506,3.102,1.871,3.622,1.457,305.963,151.986,143.095,0.07
2011-11-01,227.169,226.899,3.147,1.836,3.557,1.399,308.587,152.187,143.035,0.08
2011-12-01,227.223,227.405,3.102,1.874,3.565,1.42,300.662,152.083,143.163,0.07
2012-01-01,227.842,227.877,3.145,1.939,3.583,1.423,306.17,151.106,143.466,0.08
2012-02-01,228.329,228.034,3.113,1.798,3.52,1.442,316.625,149.893,143.838,0.1
2012-03-01,228.807,228.478,3.183,1.774,3.499,1.395,319.198,149.265,143.901,0.13
2012-04-01,229.187,228.905,3.173,1.829,3.474,1.426,319.414,150.053,143.898,0.14
2012-05-01,228.713,229.224,3.123,1.691,3.427,1.412,303.692,151.587,143.942,0.16
2012-06-01,228.524,229.623,3.195,1.67,3.396,1.403,291.49,152.263,144.073,0.16
2012-07-01,228.59,229.97,3.36,1.648,3.428,1.427,287.505,151.97,144.13,0.16
2012-08-01,229.918,230.233,3.368,1.884,3.474,1.407,310.365,150.871,144.311,0.13
2012-09-01,231.015,230.659,3.117,1.889,3.469,1.401,326.789,149.647,144.359,0.14
2012-10-01,231.638,231.024,3.428,1.96,3.524,1.422,332.699,148.986,144.547,0.16
2012-11-01,231.249,231.33,3.412,1.963,3.536,1.418,315.264,148.932,145.024,0.16
2012-12-01,231.221,231.725,3.267,2.007,3.58,1.436,306.338,149.243,145.318,0.16
2013-01-01,231.679,232.229,3.381,1.933,3.526,1.422,306.734,149.741,145.533,0.14
2013-02-01,232.937,232.569,3.278,1.965,3.48,1.411,329.253,149.789,145.121,0.15
2013-03-01,232.282,232.794,3.226,1.925,3.431,1.412,310.442,148.912,145.26,0.14
2013-04-01,231.797,232.832,3.266,1.918,3.428,1.409,295.206,148.577,145.378,0.15
2013-05-01,231.893,232.996,3.429,1.87,3.441,1.401,293.131,148.501,145.379,0.11
2013-06-01,232.445,233.35,3.525,1.859,3.458,1.439,298.112,148.742,145.854,0.09
2013-07-01,232.9,233.88,3.55,1.833,3.449,1.434,298.754,149.058,146.024,0.09
2013-08-01,233.456,234.336,3.599,1.838,3.448,1.408,303.409,149.539,146.066,0.08
2013-09-01,233.544,234.7,3.608,1.897,3.428,1.419,297.39,150.458,146.381,0.08
2013-10-01,233.669,234.921,3.652,1.925,3.462,1.358,295.64,151.248,146.233,0.09
2013-11-01,234.1,235.359,3.45,1.925,3.491,1.382,297.183,151.993,146.171,0.08
2013-12-01,234.719,235.759,3.46,2.026,3.501,1.385,303.304,152.457,146.042,0.09
2014-01-01,235.288,235.961,3.427,2.008,3.552,1.365,308.4,151.535,145.624,0.07
2014-02-01,235.547,236.185,3.384,1.998,3.561,1.388,305.007,150.718,145.625,0.07
2014-03-01,236.028,236.625,3.468,2.061,3.669,1.359,300.141,149.641,145.646,0.08
2014-04-01,236.468,237.072,3.392,2.119,3.687,1.388,305.367,149.217,145.986,0.09
2014-05-01,236.918,237.529,3.474,1.996,3.735,1.401,301.296,149.006,146.14,0.09
2014-06-01,237.231,237.837,3.504,1.948,3.626,1.4,302.293,148.921,146.099,0.1
2014-07-01,237.498,238.195,3.444,1.95,3.645,1.413,299.785,149.216,146.255,0.09
2014-08-01,237.46,238.405,3.476,1.979,3.673,1.396,294.803,149.472,146.464,0.09
2014-09-01,237.477,238.786,3.481,1.97,3.732,1.405,287.003,149.859,146.717,0.09
2014-10-01,237.43,239.191,3.486,1.951,3.766,1.414,278.463,148.954,146.928,0.09
2014-11-01,236.983,239.458,3.527,2.032,3.858,1.42,262.282,147.488,146.959,0.09
2014-12-01,236.252,239.584,3.482,2.21,3.82,1.466,238.491,145.83,146.886,0.12
2015-01-01,234.747,239.811,3.438,2.113,3.758,1.479,199.553,144.875,146.104,0.11
2015-02-01,235.342,240.172,3.511,2.088,3.496,1.435,206.901,147.264,146.316,0.11
2015-03-01,235.976,240.755,3.522,2.133,3.463,1.44,214.684,147.694,146.672,0.11
2015-04-01,236.222,241.346,3.504,2.065,3.397,1.454,211.577,148.404,147.024,0.12
2015-05-01,237.001,241.688,3.408,1.962,3.387,1.463,225.281,149.29,147.327,0.12
2015-06-01,237.657,242.064,3.388,2.57,3.366,1.467,230.871,149.48,147.489,0.13
2015-07-01,238.034,242.565,3.378,2.57,3.43,1.447,231.775,149.078,147.462,0.13
2015-08-01,238.033,242.817,3.406,2.943,3.389,1.42,225.725,148.295,147.41,0.14
2015-09-01,237.498,243.316,3.377,2.966,3.392,1.432,201.935,147.554,147.611,0.14
2015-10-01,237.733,243.768,3.356,2.808,3.338,1.418,199.315,146.397,147.481,0.12
2015-11-01,238.017,244.241,3.35,2.664,3.299,1.409,198.984,144.85,147.466,0.12
2015-12-01,237.761,244.547,3.282,2.751,3.31,1.428,190.765,143.955,147.272,0.24
2016-01-01,237.652,244.955,3.251,2.328,3.313,1.425,181.445,144.638,146.706,0.34
2016-02-01,237.336,245.51,3.302,2.267,3.23,1.407,162.727,143.979,147.374,0.38
2016-03-01,238.08,245.913,3.271,2.081,3.187,1.416,175.164,143.659,147.443,0.36
2016-04-01,238.992,246.551,3.251,1.793,3.155,1.406,184.762,145.475,147.213,0.37
2016-05-01,239.557,247.137,3.25,1.684,3.157,1.382,187.627,146.416,147.175,0.37
2016-06-01,240.222,247.54,3.228,1.491,3.115,1.333,196.44,144.887,147.046,0.38
2016-07-01,240.101,247.829,3.21,1.546,3.062,1.349,185.486,143.27,147.303,0.39
2016-08-01,240.545,248.423,3.218,1.455,3.141,1.341,183.715,142.803,147.335,0.4
2016-09-01,241.176,248.842,3.244,1.471,3.229,1.329,189.766,144.851,147.482,0.4
2016-10-01,241.741,249.142,3.305,1.39,3.292,1.343,197.788,142.217,147.784,0.4
2016-11-01,242.026,249.481,3.263,1.321,3.28,1.362,199.22,139.975,147.737,0.41
2016-12-01,242.637,249.92,3.2,1.383,3.29,1.362,206.244,139.457,147.686,0.54
2017-01-01,243.618,250.467,3.218,1.599,3.318,1.351,217.892,138.761,148.166,0.65
2017-02-01,244.006,250.998,3.195,1.464,3.3,1.358,213.626,138.713,148.284,0.66
2017-03-01,243.892,250.944,3.291,1.404,3.315,1.329,210.69,139.232,148.053,0.79
2017-04-01,244.193,251.227,3.289,1.409,3.259,1.328,209.074,138.596,148.147,0.9
2017-05-01,244.004,251.43,3.208,1.414,3.242,1.327,197.848,138.601,147.786,0.91
2017-06-01,244.163,251.746,3.215,1.332,3.213,1.335,195.797,137.691,147.097,1.04
2017-07-01,244.243,251.985,3.189,1.333,3.219,1.327,191.889,136.872,146.198,1.15
2017-08-01,245.183,252.535,3.194,1.367,3.168,1.348,203.585,136.875,146.097,1.16
2017-09-01,246.435,252.812,3.185,1.422,3.209,1.349,228.252,135.033,145.747,1.15
2017-10-01,246.626,253.526,3.141,1.54,3.158,1.328,218.99,137.803,145.474,1.15
2017-11-01,247.284,253.816,3.13,1.506,3.15,1.295,228.908,138.261,145.901,1.16
2017-12-01,247.805,254.344,3.192,1.815,3.155,1.316,228.888,138.123,146.79,1.3
2018-01-01,248.859,255.204,3.073,1.769,2.961,1.281,235.325,138.559,147.787,1.41
2018-02-01,249.529,255.711,3.119,1.755,2.923,1.265,239.767,138.643,147.386,1.42
2018-03-01,249.577,256.271,3.142,1.831,2.903,1.309,231.325,138.212,147.475,1.51
2018-04-01,250.227,256.63,3.238,2.081,2.924,1.281,238.803,137.876,145.964,1.69
2018-05-01,250.792,257.145,3.076,1.987,2.919,1.293,242.344,138.533,145.786,1.7
2018-06-01,251.018,257.399,3.094,1.628,2.877,1.279,243.105,137.952,145.769,1.82
2018-07-01,251.214,257.699,3.116,1.725,2.839,1.293,241.377,137.608,145.466,1.91
2018-08-01,251.663,257.891,2.939,1.622,2.871,1.302,246.229,138.093,145.491,1.91
2018-09-01,252.182,258.368,2.896,1.651,2.89,1.288,250.369,136.92,145.434,1.95
2018-10-01,252.772,258.917,3.047,1.66,2.913,1.277,253.471,138.247,145.457,2.19
2018-11-01,252.594,259.439,3.052,1.596,2.877,1.274,238.309,139.763,146.183,2.2
2018-12-01,252.767,260.063,3.112,1.595,2.853,1.29,225.063,140.18,147.281,2.27
2019-01-01,252.561,260.766,3.063,1.554,2.913,1.274,208.73,142.214,147.792,2.4
2019-02-01,253.319,261.186,3.062,1.557,2.9,1.282,217.237,142.272,147.755,2.4
2019-03-01,254.277,261.567,3.048,1.544,2.944,1.261,230.013,141.218,148.452,2.41
2019-04-01,255.233,261.997,3.014,1.463,2.98,1.285,245.651,139.895,147.686,2.42
2019-05-01,255.296,262.217,3.092,1.362,2.963,1.289,242.557,138.573,147.143,2.39
2019-06-01,255.213,262.739,3.051,1.203,3.054,1.28,231.691,138.241,146.697,2.38
2019-07-01,255.802,263.28,2.975,1.243,3.031,1.281,235.098,138.132,146.081,2.4
2019-08-01,256.036,263.877,2.96,1.219,3.045,1.275,229.734,138.686,145.841,2.13
2019-09-01,256.43,264.388,2.93,1.383,3.102,1.296,228.23,138.694,145.559,2.04
2019-10-01,257.155,264.97,2.948,1.282,3.119,1.325,232.348,139.701,145.596,1.83
2019-11-01,257.879,265.548,2.94,1.405,3.189,1.361,236.924,139.579,146.098,1.55
2019-12-01,258.63,266.02,3.113,1.535,3.188,1.363,244.197,140.088,147.316,1.55
2020-01-01,258.906,266.698,3.059,1.461,3.253,1.351,236.879,139.424,147.993,1.55
2020-02-01,259.246,267.402,3.013,1.449,3.196,1.375,229.731,140.593,148.361,1.58
2020-03-01,258.15,267.068,2.956,1.525,3.248,1.374,206.071,141.667,147.761,0.65
2020-04-01,256.126,265.796,3.158,2.019,3.267,1.406,166.64,138.89,146.912,0.05
2020-05-01,255.848,265.461,3.348,1.64,3.21,1.412,160.74,137.922,146.7,0.05
2020-06-01,257.004,265.839,3.349,1.554,3.198,1.474,177.312,134.156,146.356,0.08
2020-07-01,258.408,267.373,3.221,1.401,3.255,1.485,186.943,136.77,146.85,0.09
2020-08-01,259.366,268.39,3.276,1.328,3.406,1.495,190.49,144.102,146.788,0.1
2020-09-01,259.951,268.9,3.302,1.353,3.448,1.492,192.669,152.968,147.049,0.09
2020-10-01,260.249,269.28,3.29,1.408,3.38,1.503,190.486,155.964,147.811,0.09
2020-11-01,260.895,269.967,3.412,1.45,3.425,1.515,191.456,154.817,148.465,0.09
2020-12-01,262.005,270.34,3.293,1.481,3.535,1.538,207.64,154.216,150.193,0.09
2021-01-01,262.518,270.422,3.26,1.466,3.468,1.546,217.944,153.361,150.131,0.09
2021-02-01,263.583,270.813,3.239,1.597,3.368,1.537,233.448,153.647,150.082,0.08
2021-03-01,264.91,271.461,3.291,1.625,3.348,1.526,251.459,154.93,149.97,0.07
2021-04-01,266.752,273.665,3.406,1.62,3.447,1.51,249.27,168.006,149.796,0.07
2021-05-01,268.452,275.494,3.371,1.625,3.497,1.511,251.062,178.929,151.605,0.06
2021-06-01,270.664,277.585,3.353,1.642,3.557,1.51,257.683,194.846,154.055,0.08
2021-07-01,271.994,278.612,3.5,1.642,3.627,1.491,263.835,193.734,156.189,0.1
2021-08-01,272.789,278.993,3.536,1.709,3.56,1.467,270.649,190.066,157.981,0.09
2021-09-01,273.887,279.71,3.517,1.835,3.585,1.58,273.321,190.308,159.905,0.08
2021-10-01,276.434,281.623,3.589,1.821,3.663,1.526,284.966,197.214,162.368,0.08
2021-11-01,278.799,283.393,3.618,1.718,3.671,1.547,302.783,203.485,164.958,0.08
2021-12-01,280.808,285.221,3.725,1.788,3.743,1.532,312.089,211.728,167.885,0.08
2022-01-01,282.39,286.811,3.726,1.929,3.787,1.555,307.114,215.494,168.428,0.08
2022-02-01,284.535,288.287,3.815,2.005,3.875,1.578,322.941,216.876,168.665,0.08
2022-03-01,287.553,289.041,3.87,2.046,3.917,1.607,370.978,209.646,168.787,0.2
2022-04-01,288.764,290.515,4.096,2.52,4.012,1.612,358.023,206.194,169.59,0.33
2022-05-01,291.359,292.072,4.31,2.863,4.204,1.606,373.18,207.673,170.744,0.77
2022-06-01,294.996,293.972,4.568,2.707,4.153,1.691,411.984,208.687,171.664,1.21
2022-07-01,294.977,295.055,4.608,2.936,4.156,1.715,378.082,206.552,172.498,1.68
2022-08-01,295.209,296.569,4.706,3.116,4.194,1.756,339.037,204.837,173.857,2.33
2022-09-01,296.341,298.284,4.746,2.902,4.181,1.749,322.713,203.94,174.939,2.56
2022-10-01,297.863,299.351,4.67,3.419,4.184,1.814,335.141,201.171,175.981,3.08
2022-11-01,298.648,300.292,4.42,3.589,4.218,1.847,333.999,196.659,176.826,3.78
2022-12-01,298.812,301.423,4.348,4.25,4.211,1.873,308.222,193.008,177.764,4.1
2023-01-01,300.356,302.709,4.315,4.823,4.204,1.888,313.215,190.423,178.16,4.33
2023-02-01,301.509,304.124,4.365,4.211,4.163,1.896,316.804,187.711,178.533,4.57
2023-03-01,301.744,305.112,4.324,3.446,4.098,1.936,305.708,186.619,179.096,4.65
2023-04-01,303.032,306.539,4.405,3.27,4.042,1.989,314.286,192.647,178.842,4.83
2023-05-01,303.365,307.646,4.236,2.666,4.042,1.951,300.042,198.793,178.688,5.06
2023-06-01,304.003,308.245,4.193,2.219,3.985,1.937,302.412,197.601,178.602,5.08
2023-07-01,304.628,308.945,4.141,2.094,3.971,1.98,301.784,194.701,178.541,5.12
2023-08-01,306.187,309.656,4.179,2.043,3.927,1.97,326.825,191.078,178.927,5.33
2023-09-01,307.288,310.644,4.229,2.065,3.965,1.972,332.019,187.65,179.361,5.33
2023-10-01,307.531,311.39,4.222,2.072,3.927,2.002,317.678,186.879,179.247,5.33
2023-11-01,308.024,312.349,4.06,2.138,3.997,1.976,304.982,189.444,179.222,5.33
2023-12-01,308.742,313.209,4.082,2.507,4.008,2.024,303.242,190.57,179.551,5.33
2024-01-01,309.685,314.438,4.086,2.522,3.958,2.033,293.287,184.15,179.485,5.33
2024-02-01,311.054,315.565,4.105,2.996,3.94,2.006,304.302,185.105,179.311,5.33
2024-03-01,312.23,316.698,4.106,2.992,3.893,1.997,309.587,183.042,179.0,5.33
